path_id,step,q1_re,q1_im,q2_re,q2_im
1,1,-16.71125679444708,-9.4039548065783e-38,-6.869239882718402,1.410593220986745e-37
1,2,-16.71125679444708,-1.8546030753437107e-68,-6.869239882718399,9.273015376718553e-69
1,3,-16.71125679444708,-3.65755965210328e-99,-6.869239882718399,1.82877982605164e-99
1,4,-16.71125679444708,-7.213264545145106e-130,-6.869239882718399,3.606632272572553e-130
1,5,-16.71125679444708,-1.4225655996704496e-160,-6.869239882718399,7.112827998352248e-161
2,1,-4.3140830754274083e-32,53.84586534508538,6.162975822039155e-32,-41.26564095264965
2,2,3.8893845486632136e-62,53.845865345085365,-1.9446922743316068e-62,-41.26564095264965
2,3,0.0,53.845865345085365,0.0,-41.26564095264965
2,4,0.0,53.845865345085365,0.0,-41.26564095264965
2,5,0.0,53.845865345085365,0.0,-41.26564095264965
3,1,16.71125679444708,-2.82118644197349e-37,6.869239882718401,2.350988701644575e-37
3,2,16.71125679444708,-1.8546030753437107e-68,6.8692398827184,9.273015376718553e-69
3,3,16.71125679444708,-3.65755965210328e-99,6.8692398827184,1.82877982605164e-99
3,4,16.71125679444708,-7.213264545145106e-130,6.8692398827184,3.606632272572553e-130
3,5,16.71125679444708,-1.4225655996704496e-160,6.8692398827184,7.112827998352248e-161
4,1,1.0785207688568521e-32,-53.84586534508536,-1.502225356622044e-32,41.26564095264964
4,2,2.4308653429145085e-63,-53.845865345085365,-2.734723510778822e-63,41.26564095264965
4,3,-1.1985091468012028e-94,-53.845865345085365,0.0,41.26564095264965
4,4,5.0819030535959865e-126,-53.845865345085365,-5.170468025960012e-126,41.26564095264965
4,5,-4.370121522187621e-157,-53.845865345085365,5.826828696250162e-157,41.26564095264965
